genome_name	genome	taxonomy	K03639	K20967	K03637	K03635	K21142	K03831	K03638	K15376	K03750	K07141	K13818	K03752	K03636	K21232	K04487	K21028	K11996	K21029	K21147	K15631	K20625	K08356	K08351	K16964	K07306	K10700	K22341	K22516	K22015	K05299	K00123	K08348	K18558	K00201	K02567	K00367	K00370	K00372	K03934	K18361	K08352	K23302	K24713	K17050	K21307	K17219	K07812	K07811	K08357	K07309	K07147	K10534	K05301	K00387	K17225	K03738	K11389	K19515	K00157	K09842	K12528	K03520	K11817	K22417	K04108	K24716	K16877	K19187	K18020	K19820	K20171	K07303	K07469	K20447	K20448	K13482	K00106	K11177	K00087	K18030	K02588	K02586	K02591	K22896	K22897	K22898	K22899	K00531	K02587	K02592	K02585	K00947	K15790	K02018	K02017	K02020	K15496	K15497	K15495	K05773	K06857	K05772
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Oligotropha_carboxidovorans_OM5	GCA_000218565.1	Proteobacteria	2.5e-10		4.2e-86	1.8e-46		7.9e-85	2.5e-78		4.7e-51	2.9e-76		4.4e-53	2e-13		4.7e-136				4.6e-100									2.4000000000000003e-217		3.2000000000000005e-79	0.0	0.0					0.0	0.0	1.5e-293														1.5e-111		9e-195							0.0														0.0		1e-281		3.3e-248														4.5e-99	5.1e-94	2.1e-36				5.8e-92	5.1e-86	6.2e-130
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Brucellaceae_Brucella_abortus_A13334	GCA_000238175.1	Proteobacteria	1.2e-128		4.2e-86	2.4e-47		1.0999999999999999e-89			4.2e-130			1.2e-40	1e-18		3.8e-121				5.0000000000000006e-110												1e-81						0.0		1.1e-286		2.1000000000000002e-109										1.0999999999999999e-147																									1.6e-16																		9.599999999999999e-90	1.5e-113	1.2999999999999998e-69						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Brucellaceae_Ochrobactrum_anthropi_ATCC_49188_1	GCA_000017405.1	Proteobacteria	8.7e-132		2.2e-81	2.8e-48		1.0000000000000001e-88			2.6e-10			4.3e-49	1.6e-18		7.200000000000001e-123				3.3000000000000004e-109												3.1999999999999995e-82	8.800000000000001e-70					0.0		2.8e-282		1.7999999999999998e-115										9.799999999999999e-147			1.8e-09																						0.0																		6.9e-87	1.7999999999999998e-115	1.4000000000000001e-70						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Devosia_sp._17_2_E_8	GCA_000743515.1	Proteobacteria	9.2e-133		1.5e-81	1.5999999999999998e-42			6.4999999999999994e-74		6.1e-125			3.4e-37	4.2e-16		3.1000000000000004e-122				2.0999999999999997e-89				4.0999999999999997e-280								4e-108								1.6999999999999999e-279		3e-118										1e-48			3.1e-07																						0.0																		6.2e-85	6e-111	6.8e-73						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Hyphomicrobium_nitrativorans_NL23	GCA_000503895.1	Proteobacteria	1.6e-127		1.7000000000000002e-85	6.9e-50		1.7e-92			1.1e-120	5.1000000000000005e-64			8.9e-17				3.2000000000000002e-105								1.3000000000000002e-129						2.6000000000000002e-79			7.000000000000001e-124	0.0			0.0	3.1e-291												4.4e-149																					1.5000000000000001e-251																						2.1e-100	9.4e-105	1.8e-78						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Pelagibacterium_halotolerans_B2	GCA_000230555.1	Proteobacteria	6.4e-129		1.6999999999999998e-74	1.5e-41			3.8e-74		5.6e-137			6.8e-33	8.5e-18		3.2e-118				9.299999999999999e-82									1.6e-108										0.0	8.8e-285		3e-116										7.1e-55																									0.0				4.0000000000000005e-77														1.3e-71		4.6e-64						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Prosthecomicrobium_hirschii_ATCC_27832	GCA_001305515.1	Proteobacteria	1.6e-128		5.5e-81	1.5e-48			1.8e-80		6.3e-125	1.2999999999999998e-74		5.5999999999999995e-61	7.4e-13		1.6000000000000002e-123				8.600000000000001e-107				0.0								0.0			2.1e-69				0.0	2.5999999999999997e-277		2.2e-108										2.0000000000000003e-132				4.0999999999999997e-196							4.2e-288										2.3e-301	0.0			0.0				5.6e-71	0.0	0.0	0.0						5.8e-235	1.5e-190	2.0000000000000003e-200			1.1e-94	1.1999999999999999e-113	3e-76				5.7e-92	2.6e-86	2.5e-119
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Hyphomicrobiaceae_Rhodomicrobium_vannielii_ATCC_17100	GCA_000166055.1	Proteobacteria	2.9999999999999995e-126		1.3e-78	2.3e-50	2.6e-13	4.6e-93			4.7999999999999995e-126						8.1e-127				4.1e-101																				1e-280												1.9e-151																														0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4e-190	4.6e-169	2.1e-212		1.4e-66	1.6e-102	4.7000000000000005e-110	1.6e-74						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium_extorquens_PA1	GCA_000018845.1	Proteobacteria	2.3e-130		1.8000000000000002e-85	1.4e-51	4.6e-11		2.2e-78		9.999999999999999e-139	5e-62		5.4e-57			4.999999999999999e-131				4.5e-104												7e-264			1.2e-75				0.0	8.4e-261		1.4999999999999999e-140										9.3e-53				1.1999999999999999e-172						0.0	5.4e-294										6.700000000000001e-273						3e-298																2e-102	1.1e-113	2.1e-77				2.2e-90	2e-82	1.2e-127
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Microvirga_sp._WSM3557	GCA_000262405.1	Proteobacteria	3.2e-128		4.7e-86	3.5e-49			2.8000000000000003e-80		5.3e-08	2.9000000000000003e-63		5.9e-57	3.4e-13		3.6e-137			5.7e-19	3e-88				0.0					3.2000000000000003e-80			0.0	0.0						0.0	3.7e-277		2.8e-121										8e-56		7.899999999999999e-104									0.0														0.0		9.999999999999999e-298		3.4000000000000003e-85	0.0	0.0	0.0						3e-239	3.8999999999999995e-189	3.9e-201		8.8e-71	2.6e-97	5.8e-115	7e-79						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylocystaceae_Methylocystis_sp._SC2	GCA_000304315.1	Proteobacteria	7.7e-133		9.2e-85	1.4e-47		6.5e-91			3.9000000000000004e-123	1.7e-57		2.8e-63	3.6e-12		9.900000000000001e-125				4.1e-98			0.0									0.0			8.2e-89				0.0	1.7e-262												1.8999999999999998e-34		1.0999999999999999e-74																									0.0	4.8e-92		0.0	0.0	0.0						4.3e-253	1.3000000000000001e-200	1.8000000000000001e-217		4.8999999999999995e-74	3.4e-86	4.9e-106	1.8000000000000003e-73						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Aquamicrobium_defluvii_W13Z1	GCA_000585625.1	Proteobacteria	3.6000000000000006e-129		1.4e-79	6.3000000000000004e-49		5.8e-82	3e-77		1.4e-136			2.5999999999999998e-61	6.7e-15		2.1e-113				3.8e-111												1e-82						0.0		5.3e-282						0.0						8.3e-148																									0.0				4.5e-73														6.500000000000001e-103	3.7e-116	8.6e-71						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Hoeflea_phototrophica_DFL_43	GCA_000154705.2	Proteobacteria	2.6e-07		1e-82	7.4e-47		7.2e-87			3.5000000000000004e-129	1.6999999999999999e-68		2.6e-56	1.1e-14		3.7e-120				1.4e-104												0.0								5.599999999999999e-284		3.2e-111				0.0						4.7e-143				9.7e-199							0.0										4.7999999999999995e-230	0.0			0.0				6.999999999999999e-69														6.7e-100	1.4e-118	3.7000000000000003e-72						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium_australicum_WSM2073	GCA_000230995.3	Proteobacteria	3.1999999999999994e-126		2.1e-85	4.999999999999999e-52			8.500000000000001e-80		9.7e-125	1.4e-74		2e-63	1.3e-14		4.6e-162			1.1e-23	6e-112												0.0							0.0	5.6e-285		3.6e-108				0.0						2.3e-52											0.0											0.0		1.2e-83	0.0		8.8e-281	1.5e-211	2.8999999999999996e-68	0.0	0.0	0.0						1.1e-231	2.3e-192	3.8e-197		1e-70	2.8e-99	1.3e-116	8.400000000000001e-73						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Parvibaculum_lavamentivorans_DS_1	GCA_000017565.1	Proteobacteria	4.9999999999999994e-126		6e-85	1.7e-51			3.6e-76		6.7e-130	4.2e-81			3.9e-14		3e-138		2.4e-102	2.2e-33																					7.8e-296																							6.800000000000001e-283										2.7e-261																						3.2000000000000005e-73	3.8e-96	2.4e-68						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Phyllobacterium_sp._YR531	GCA_000282595.1	Proteobacteria	1.3e-127		1.1e-85	3.5e-45			6.4e-77		2.2e-133	4.1e-57		1.1e-55	3.3e-15		2.4999999999999997e-115				3.6000000000000004e-105				0.0								0.0							0.0	5.1999999999999996e-285		1.9e-108				0.0						3.5e-53																					3.3e-285				0.0				9.7e-70														5.1e-98	3e-111	3.4e-80						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Candidatus_Liberibacter_americanus_Sao_Paulo	GCA_000496595.1	Proteobacteria															1.5e-111																								1.7e-266																																																															
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Neorhizobium_galegae_bv._orientalis_HAMBI_540	GCA_000731315.1	Proteobacteria	2.0999999999999998e-128		2.5e-86	4.5e-44	1.5e-15		2.5e-80		3.1999999999999996e-134	6.6e-68		1e-58			1.3e-125			5.3999999999999994e-24	2.7e-100				2.4e-295								0.0							0.0	2.4e-284		3.9e-106										2.3e-147		2.3999999999999997e-42									2.7e-265										7.3e-284				0.0		7.1e-295		8.4e-208	0.0	0.0	0.0						1.9e-204	6.8e-176	1.2e-180		1.3e-39	8.6e-98	3.3e-116	5.5e-76						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_RhizobiumAgrobacterium_group_Agrobacterium_sp._H13_3	GCA_000192635.1	Proteobacteria	5.3e-127		2.2e-87	5.6e-44			5e-78		1e-130	8.900000000000001e-56		4.5e-59	1.7e-13		1.9e-127				4.3e-99				0.0								8.4e-86							0.0	9.999999999999999e-286		2.7e-104										4.3e-145																									0.0		6.200000000000001e-302		1.1e-72														3.9e-101	6.4e-121	1.6e-77						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_RhizobiumAgrobacterium_group_Rhizobium_leguminosarum_bv._trifolii_CB782	GCA_000520875.1	Proteobacteria	6.800000000000001e-132		5.600000000000001e-88	7.799999999999999e-46			1.9000000000000002e-80		1.2e-133			2.7999999999999998e-61	6.7e-13		2.3000000000000002e-125				2.3e-103											5.8999999999999996e-229	2.7e-78							0.0	3.1e-286		2.1e-112										5.4e-51		4.4e-11																							0.0				2.6999999999999998e-74	0.0	0.0	0.0						3.3e-208	1.9e-164	3.5999999999999996e-106			9.7e-99	2e-117	6.900000000000001e-80						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_SinorhizobiumEnsifer_group_Ensifer_adhaerens_OV14	GCA_000583045.1	Proteobacteria	1.4e-130		8.2e-87	5.2999999999999994e-48	1.5e-13		7.2e-80		6.5e-132	2.7e-63		3.4e-60			3.1e-127				5.7e-109											2.4999999999999998e-219	0.0	4.2000000000000003e-73			0.0			0.0	6.8e-287		7.799999999999999e-104										1.1e-144		3.1e-97									0.0										9.2e-241				0.0			2.5e-284	1.1000000000000001e-206														3.9000000000000004e-97	1.1999999999999999e-113	3.7e-84						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_SinorhizobiumEnsifer_group_Ensifer_meliloti_GR4	GCA_000320385.2	Proteobacteria	7.9e-131		1.2e-88	1.9e-46	2.4e-13		5.4e-77		2.3e-136	2.2000000000000002e-70		9.4e-63			9.6e-127				4.9e-111											2.6999999999999997e-230	0.0	7.3e-74			0.0			0.0	8.5e-282		6.8e-106										6.8e-36		5.6e-94									0.0										2.3e-295				0.0		1.4e-215	2.4999999999999997e-288	1.2e-249	0.0	0.0	0.0						1.5999999999999998e-221	1.1000000000000001e-181	4.4e-188			4.3e-96	1e-117	1.5e-79						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhodobiaceae_Lutibaculum_baratangense_AMV1	GCA_000496075.1	Proteobacteria	1.3e-125		3.5e-89	2.2999999999999997e-42			7.600000000000001e-80		1e-135	1.6e-81		5.4000000000000005e-58	8.8e-16		1.8999999999999999e-128				1.1e-84												1.5e-45	3.8000000000000005e-251					0.0		8.400000000000001e-294		5.5999999999999995e-112														1.3999999999999998e-197							0.0				1.5e-233							5.3e-216		9.800000000000001e-124			6.299999999999999e-282		0.0														1e-85		1.1e-77				5.9e-90	2.3e-90	1.0000000000000001e-132
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Azorhizobium_caulinodans_ORS_571	GCA_000010525.1	Proteobacteria	2.0000000000000003e-124		1.8e-88	1.0000000000000001e-47		5.8e-85	3.5e-82		2e-125	9.900000000000001e-79		6.7e-62	4.8e-15		3.8000000000000005e-160				1e-101				0.0					1.6e-89			0.0	0.0					0.0	0.0	5.899999999999999e-287		7.1e-113										1.7e-124				7.8e-192						0.0	0.0										5.799999999999999e-282						0.0		0.0	0.0	0.0	0.0						2.2999999999999996e-250	2.3e-203	3.0999999999999995e-216	1e-123	3.9e-75	3.8e-84	5.3e-113	8.7e-81						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Starkeya_novella_DSM_506	GCA_000092925.1	Proteobacteria	5.3e-131		2.1e-85	1.7e-47			3.6999999999999995e-82		1.5e-131	1.7e-65		3.8e-62	2.2e-16		2.8000000000000003e-132				1.2e-97			0.0						1.6e-90			0.0	0.0		2.6e-115	0.0			0.0	2.4999999999999997e-282		5.6999999999999996e-120										7.100000000000001e-57		1e-193		9.5e-194						0.0	1.8e-279										2.3999999999999997e-274						0.0	5.5e-206	1.9e-122														5.8e-88	1.3000000000000001e-117	1.7e-73						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Xanthobacteraceae_Xanthobacter_autotrophicus_Py2	GCA_000017645.1	Proteobacteria	3.3000000000000002e-130		4.4e-85	1.3e-49		5.1e-94			8.1e-126	4.5e-74		7.5e-55	3.5e-14		3.2e-135			4.9e-07	1.6e-101			0.0									0.0	2.6e-71		1.3e-106				0.0	2e-280		1.1e-118										6.500000000000001e-124		1.5e-193		2.4000000000000002e-194						0.0	9.3e-275										2.6e-298				0.0				0.0	0.0	0.0	0.0						7.8e-255	1.6e-199	1.5999999999999998e-216	6.7e-122	1.8000000000000001e-65	1.3e-84		1.3e-75						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_unclassified_Rhizobiales_Bauldia_litoralis_ATCC_35022	GCA_900104485.1	Proteobacteria	2.8e-12		6.3e-87	3e-50			4.2000000000000005e-79		4.0999999999999997e-134	1.0000000000000001e-79		3.9e-62	4.8e-18		2.8999999999999997e-131			1.4e-12													0.0						0.0		9.1e-289		1.3e-107										7.9e-18											4.6e-295						0.0							1.4e-85	0.0			1.2e-127	1.8e-72														2e-97	6.3e-112	7.4e-76						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_unclassified_Rhizobiales_Vasilyevaea_enhydra_ATCC_23634	GCA_900119845.1	Proteobacteria	6.7e-131		1.9e-81	1.7999999999999998e-40			9.6e-73		8.3e-135	1.7e-44		5e-33	2.3e-17		2e-121				8.500000000000001e-88									1e-104											2.2e-282		2e-106										5.8e-51											6.1999999999999995e-282										2.8e-212				0.0		5.8e-292		2.2e-204														1.2e-78		1.1e-68						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae_Hirschia_baltica_ATCC_49814	GCA_000023785.1	Proteobacteria	1e-119		5.4e-76	3.1e-41			6.1e-74		3.2e-113	2.5999999999999997e-42		5e-44	1.3e-08		3.6999999999999996e-119			4.5999999999999996e-92										5.0999999999999995e-106										0.0	1.0000000000000001e-269		7.4e-116																															7.0999999999999995e-221																						1.1e-82	7.9e-89	3.4000000000000003e-56						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae_Hyphomonas_neptunium_ATCC_15444	GCA_000013025.1	Proteobacteria	1.8000000000000002e-105		1.3e-80	4.5e-44	3.2e-10		1.6e-72		1.1999999999999999e-119				6.2e-11		2.8e-121			2.1e-80																			0.0		1.3e-266																																	4.1e-246						3.1999999999999998e-285																								
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae_Maricaulis_maris_MCS10	GCA_000014745.1	Proteobacteria	3.0000000000000002e-123		7.700000000000001e-79	1.2e-41			1.3e-64		3.3e-135			1.6e-31	9.3e-13		5.6000000000000005e-123			1.4e-91													0.0						0.0		1.6999999999999998e-270												1e-137																																																			
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae_Oceanicaulis_alexandrii_HTCC2633	GCA_000152745.1	Proteobacteria															2.1e-125			2.4e-93	2.9e-17																				1.6e-278																																																															
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Actibacterium_mucosum_KCTC_23349	GCA_000647975.1	Proteobacteria	1e-125		8.5e-85	1.3e-47			3.6000000000000006e-73		1.0000000000000001e-124			2.3999999999999998e-60	5.1e-15		1.3e-118		3.3000000000000003e-105		5.4e-84												1.5e-280							0.0	3.6000000000000003e-247						0.0						2.4e-148				7.1e-184							0.0										4.1000000000000003e-224				0.0																		4.6999999999999996e-83	8.2e-101	2.7999999999999998e-67				4.3e-91	3.3e-81	8.4e-110
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Celeribacter_sp._P73_complete_genome	GCA_000819565.1	Proteobacteria	2.7000000000000003e-125		1e-83	8e-49			2.4e-74		9.300000000000001e-125	1.4000000000000001e-33		3.4e-61	3.9e-15		6.9e-109		4.9e-102	1.7e-47	9.3e-83				0.0								0.0							4.7e-102	2.6999999999999996e-256												1.4e-143											1.2e-281										7.4e-233				0.0		5.3e-271	1.2e-211															1.9e-95	5.7e-110	6.9e-78						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Citreicella_sp._SE45	GCA_000161755.1	Proteobacteria	9.6e-127		3.7e-84	7.7e-49			2e-73		1.0999999999999999e-128	3.3000000000000003e-56		1.8000000000000001e-56	4.1e-15		3.1e-110		1e-106		6.2e-85				0.0	0.0							0.0							0.0	1.9e-254						0.0		0.0				8.999999999999999e-138				5.1e-182							2.6999999999999997e-270						0.0				3e-246	0.0			0.0		3.1e-274		2.7e-70			0.0						1.2e-151					9.1e-97	4.2e-114	1.3e-76				2.1e-92	8.1e-84	1.1e-108
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Defluviimonas_sp._20V17	GCA_000687435.1	Proteobacteria	4e-133		2.7e-85	1.2e-47			1.8000000000000003e-73		1.2e-130	1.1e-40		7.7e-62	8.5e-17		3.8e-109		6.1e-105		7.7e-80				0.0					9.1e-76			0.0						0.0	3.5e-15	9.1e-257						0.0						1.3e-50				3.1e-184							4.3e-267										1.7e-231	0.0			0.0		3.4e-274	9.1e-211	3.8e-73														1.4e-77	1.1999999999999999e-108	2.1e-64				7.6e-91	4.4e-83	2e-119
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Dinoroseobacter_shibae_DFL_12	GCA_000018145.1	Proteobacteria	7.700000000000001e-129		1.5e-87	4.7e-46			4.1e-73		1.4e-127	1.7e-45		4.7e-62	2.6e-17		5.800000000000001e-103		1.4e-104		1.1999999999999999e-82												0.0				0.0			0.0	3.7e-253						0.0		0.0				2.8e-143		1.5e-111		4.6e-185							2.5e-271					0.0					1.4999999999999998e-285				0.0				2.6e-14														2.6e-97	1.9e-113	6.3e-68				1e-91	1.5e-87	4.4000000000000004e-125
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Haematobacter_missouriensis_CCUG_52307	GCA_000740775.1	Proteobacteria	2.4e-131		9.8e-85	8e-45			4.7000000000000004e-70		1.7e-123	7.100000000000001e-37		5.4e-56	3.3e-14		8.899999999999999e-108			3.1e-97	3.7e-87				0.0								0.0	0.0							1.3999999999999998e-256												5e-31											2.3999999999999997e-292										5.6e-207				0.0		7.5e-267		2e-153														6.5e-86	8e-114	5.900000000000001e-72						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Jannaschia_sp._CCS1	GCA_000013565.1	Proteobacteria	3.3000000000000002e-130		5.6e-81	1.7e-46			1.6e-71		1.1e-120	1.0999999999999999e-52		3.6999999999999997e-54	1.6e-19		1.5e-105		7.7e-97														0.0							0.0	7.699999999999999e-250						0.0						2.2e-140											2.2e-266										7.499999999999999e-221				0.0				2.6999999999999997e-172														5.5e-98	3.5999999999999996e-106	2.5000000000000003e-66						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Ketogulonigenium_vulgarum_WSH_001	GCA_000223375.1	Proteobacteria	3.6e-125		3.8e-86	2.3999999999999997e-46			7.6e-72		7.1e-117				1.5e-14		9.300000000000001e-105				9.9e-94																				5.6e-232												1.1e-130																					5.3e-245																						2.7e-96	1.1999999999999999e-115	1.9e-71						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Labrenzia_alexandrii_DFL_11	GCA_000158095.2	Proteobacteria	5.499999999999999e-128		9.1e-86	6.1e-50			3.2000000000000005e-79		1.6000000000000002e-125	8.300000000000001e-72		2e-55	1.8e-13		5.4000000000000006e-133				1.7e-101												0.0							0.0	1.0000000000000001e-283		6.9e-116				0.0						1.2e-127				8.7e-199							0.0										1.2e-235				0.0				1.0000000000000001e-64														5.1999999999999993e-95	2e-108	2e-73				4e-96	6e-86	6.9e-08
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Loktanella_vestfoldensis_SKA53	GCA_000152785.1	Proteobacteria	3.9999999999999997e-128		2.3e-83	1.5e-43			4.7000000000000006e-73		6.0000000000000004e-123	5.1e-46		1.4e-48	1.5e-16		1.7e-105		9.5e-105														0.0								4.4e-251						0.0						1.3e-133											0.0										1.6999999999999998e-221				0.0																		4.7e-98	4.7e-111	6.1e-72				3.2e-90	6.3e-82	5.700000000000001e-124
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Nereida_ignava_DSM_16309	GCA_001404155.1	Proteobacteria	5.700000000000001e-124		4.6999999999999995e-82	1.5e-46			4.1e-75		8.999999999999999e-131	1.1e-45		5.3e-59	1.6e-17		1.1000000000000001e-103		7.200000000000001e-103		5.1e-90												0.0								1.6000000000000002e-253						0.0						3.2e-143				2.1e-183																	7.7e-226																						6e-86	1.3e-99	4.0000000000000005e-64				3.4e-90	3.6000000000000004e-86	6.9e-118
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Oceanibulbus_indolifex_HEL_45_unfinished_sequence	GCA_000172095.1	Proteobacteria	2.3999999999999997e-126		1.2e-83	4.2e-47			6e-75		1.6e-122	1.4e-47		3.6000000000000002e-56	2.4e-16		1.3000000000000001e-122		8.600000000000001e-107		1.5e-87												0.0								4.6e-253		3.6e-10				0.0						1.3e-142				4.5000000000000005e-194							0.0										6.099999999999999e-233				0.0		1.1e-259		1.1000000000000001e-70														3.4e-92	6.1e-112	3.3999999999999994e-67				1.9e-91	3.3e-80	1.4999999999999999e-106
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Oceanicola_granulosus_HTCC2516	GCA_000153305.1	Proteobacteria	4e-126		7.1e-83	2.5e-47			5e-74		5.899999999999999e-128	6.3e-42		8.7e-59	3.7e-16		4.2e-114				3.3e-102				0.0					4.3e-77			0.0								7.2e-250												4.1e-135			8.599999999999999e-147								4.4e-264														0.0		9.4e-263																4.4999999999999995e-95	1.2e-112	1.2e-79				4.0999999999999997e-91	6.8e-82	4.1e-116
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Oceaniovalibus_guishaninsula_JLT2003	GCA_000299575.1	Proteobacteria	1.4000000000000001e-129		2.5999999999999997e-82	7.1e-48			2.5000000000000003e-72		8.199999999999999e-120	7.7e-46		5.9e-60	9.1e-16		6.2e-107		3.1e-103														0.0								5e-234						0.0		0.0						8.2e-116									0.0														0.0		1e-284																1.8999999999999998e-98	7.1e-113	3.2000000000000004e-70						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Octadecabacter_arcticus_238	GCA_000155735.2	Proteobacteria	3.4e-126		4.6e-83	7.7e-46			2.4e-75		1.4e-118	6.199999999999999e-48		7.1e-50	8e-16		4.6e-102		1.7e-105		2.1e-77												5e-280								3.4e-247						0.0						3.2999999999999997e-134			4.8e-71								0.0														0.0			2.3e-193	1.4e-65														1.4999999999999999e-92	6e-108	1.2e-57				1.2e-92	9.4e-81	5.9e-106
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus_denitrificans_PD1222_1	GCA_000203895.1	Proteobacteria	4.3e-134		5.8e-85	6.4e-45		4e-86			3.7e-120			2.2999999999999998e-60	3e-17		2.7999999999999998e-112			1.6e-99	1e-90				0.0								1.1e-81	6.9e-69			0.0		0.0	0.0	2.3e-251												2.5999999999999998e-141				1.4000000000000001e-185																					0.0																		1.6000000000000002e-97	7.7e-41	6.7e-76						
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Pelagibaca_bermudensis_HTCC2601	GCA_000153725.1	Proteobacteria	1.3e-125		1.8e-84	4.4e-47			3.4e-73		2.8000000000000002e-123	4e-49		9.599999999999999e-61	3.4e-17		4.1e-112		2.9e-105		7.5e-08				0.0								7.5e-280							0.0	1.2e-251						0.0						8.8e-141				2e-181							6.299999999999999e-138										5.1e-237	0.0			0.0		3.3e-271	2.5e-14															6.6e-97	4.499999999999999e-115	3.2e-76				1e-96	3.9e-86	1.5e-122
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Phaeobacter_gallaeciensis_2.10	GCA_000154745.2	Proteobacteria	2.4999999999999997e-126		3.6000000000000004e-86	3.7e-48			3.2e-74		2.8e-125	5.1e-56		2.2000000000000003e-59	3.1e-15		9.7e-110		5.3e-105		1.1e-83												5.6e-282								4.2e-255		1.0000000000000001e-103				0.0						5.6e-142				2e-188							0.0										1.4999999999999999e-254				0.0			6.2e-205															4.4e-93	7.9e-111	1.2e-69				2.8e-92	1.3e-78	5.6e-107
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Planktomarina_temperata_RCA23_DSM_22400_RCA23	GCA_000738435.1	Proteobacteria	7.5e-125		3.7e-83	1.1e-45			1e-69		6.2e-130	1.1e-37		4.3e-60	1.5e-13		2.2e-105		4.6e-105														1e-275								5.5000000000000006e-248						0.0						4.7999999999999995e-139				1.2999999999999999e-188							0.0					0.0									0.0																		1e-85	2.7e-107	6.400000000000001e-56				1.1e-94	1.9e-78	2.3999999999999998e-104
